epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,769.281,1.78678,1.04444,0.93021,0.87484,0.86048,0.90239,0.4207,1.84974,0.93384,0.93454,0.005743,0.005743,0.005743
45,791.814,1.82726,1.06834,0.93395,0.88355,0.86341,0.89775,0.40801,1.85729,0.9662,0.93276,0.005644,0.005644,0.005644
46,814.784,1.79364,1.06739,0.93609,0.85374,0.84628,0.87851,0.39828,1.78593,0.95002,0.9248,0.005545,0.005545,0.005545
47,837.805,1.80464,1.06304,0.93333,0.94684,0.82438,0.90729,0.44584,1.73485,0.89563,0.91732,0.005446,0.005446,0.005446
48,860.232,1.80444,1.06464,0.93539,0.93141,0.76025,0.88173,0.41389,1.78579,0.95555,0.92505,0.005347,0.005347,0.005347
49,881.904,1.79059,1.07529,0.92956,0.94183,0.83642,0.91321,0.43856,1.70544,0.89459,0.91582,0.005248,0.005248,0.005248
50,903.83,1.78395,1.04096,0.92491,0.85731,0.86213,0.9015,0.43862,1.72186,0.91625,0.91481,0.005149,0.005149,0.005149
51,925.927,1.79331,1.03367,0.92981,0.86154,0.88236,0.90718,0.41461,1.75153,0.90233,0.92073,0.00505,0.00505,0.00505
52,948.275,1.764,1.00641,0.93027,0.91842,0.80704,0.89504,0.41837,1.74004,0.93876,0.9126,0.004951,0.004951,0.004951
53,970.002,1.77407,1.00624,0.93042,0.916,0.85455,0.90958,0.42554,1.78073,0.91622,0.92146,0.004852,0.004852,0.004852
54,991.901,1.73108,1.02179,0.92239,0.9351,0.83533,0.90185,0.38419,1.85957,0.95529,0.92898,0.004753,0.004753,0.004753
55,1014.27,1.75602,1.02277,0.92759,0.89318,0.85581,0.90549,0.44175,1.70381,0.90599,0.91135,0.004654,0.004654,0.004654
56,1036.05,1.71417,0.99214,0.92059,0.85659,0.86321,0.88846,0.39893,1.83478,0.90559,0.9364,0.004555,0.004555,0.004555
57,1058.07,1.71693,0.97088,0.92438,0.89544,0.84723,0.89386,0.43736,1.72441,0.95396,0.91918,0.004456,0.004456,0.004456
58,1080.17,1.71698,0.97951,0.9248,0.86216,0.84635,0.89464,0.44254,1.73596,0.95312,0.91886,0.004357,0.004357,0.004357
59,1102.28,1.72667,1.01706,0.92138,0.94822,0.83116,0.89146,0.39982,1.84065,0.94484,0.93457,0.004258,0.004258,0.004258
60,1124.01,1.73204,0.99896,0.91708,0.96099,0.82345,0.90456,0.42981,1.77388,0.89993,0.93004,0.004159,0.004159,0.004159
61,1144.59,1.72949,0.99386,0.91604,0.9445,0.84612,0.91191,0.40791,1.81727,0.91423,0.93301,0.00406,0.00406,0.00406
62,1164.52,1.69212,0.96559,0.90892,0.9252,0.8621,0.91492,0.44363,1.7652,0.90714,0.92692,0.003961,0.003961,0.003961
63,1184.22,1.68458,0.9454,0.91759,0.90593,0.85814,0.90118,0.42033,1.77124,0.87921,0.92766,0.003862,0.003862,0.003862
64,1203.91,1.65043,0.91867,0.90778,0.90826,0.85855,0.90741,0.43421,1.75777,0.87773,0.9197,0.003763,0.003763,0.003763
65,1224.15,1.65382,0.95535,0.90491,0.92319,0.87768,0.90981,0.45568,1.71141,0.84054,0.91378,0.003664,0.003664,0.003664
66,1243.66,1.652,0.93843,0.90545,0.9641,0.8416,0.91289,0.4176,1.76824,0.8882,0.92535,0.003565,0.003565,0.003565
67,1263.64,1.68044,0.93117,0.91295,0.96282,0.83279,0.90803,0.43859,1.73205,0.8854,0.91381,0.003466,0.003466,0.003466
68,1284.8,1.64915,0.92171,0.90785,0.89747,0.84689,0.89164,0.42108,1.80759,0.86968,0.92726,0.003367,0.003367,0.003367
69,1306.29,1.61743,0.90648,0.8991,0.96008,0.84724,0.92655,0.46853,1.68419,0.81788,0.90911,0.003268,0.003268,0.003268
70,1327.4,1.64314,0.90179,0.90831,0.95613,0.86523,0.92312,0.44957,1.71213,0.81982,0.90987,0.003169,0.003169,0.003169
71,1350.68,1.62801,0.89337,0.91124,0.87897,0.84935,0.88904,0.41604,1.76001,0.87504,0.92183,0.00307,0.00307,0.00307
72,1371.64,1.66301,0.91918,0.90377,0.94243,0.86441,0.91979,0.47103,1.68908,0.77888,0.91352,0.002971,0.002971,0.002971
73,1392.83,1.64372,0.89975,0.90737,0.93239,0.82301,0.88763,0.37372,1.89596,0.89561,0.93093,0.002872,0.002872,0.002872
74,1414.85,1.67009,0.93309,0.90421,0.95939,0.86811,0.92764,0.44572,1.73177,0.83414,0.91587,0.002773,0.002773,0.002773
75,1437.37,1.64093,0.91449,0.90285,0.9681,0.84196,0.93362,0.47549,1.6517,0.78825,0.90763,0.002674,0.002674,0.002674
76,1460.02,1.60879,0.88482,0.90483,0.93208,0.87447,0.93268,0.47536,1.68367,0.80046,0.90815,0.002575,0.002575,0.002575
77,1482.14,1.62985,0.90332,0.89463,0.94336,0.8645,0.91622,0.43501,1.74084,0.82598,0.91604,0.002476,0.002476,0.002476
78,1504.1,1.59855,0.87538,0.90209,0.90136,0.90524,0.92743,0.47378,1.68807,0.77667,0.90571,0.002377,0.002377,0.002377
79,1527.08,1.62968,0.88036,0.89497,0.9282,0.86739,0.92003,0.44086,1.69601,0.80354,0.90853,0.002278,0.002278,0.002278
80,1549.45,1.63113,0.89343,0.89853,0.8862,0.88153,0.91321,0.4377,1.72971,0.79692,0.91495,0.002179,0.002179,0.002179
81,1571.87,1.59753,0.87109,0.89647,0.95459,0.8728,0.92788,0.46643,1.71604,0.78949,0.91546,0.00208,0.00208,0.00208
82,1594.31,1.58687,0.86475,0.89344,0.90484,0.89604,0.93,0.48008,1.68693,0.80448,0.90699,0.001981,0.001981,0.001981
83,1616.1,1.57108,0.84653,0.89536,0.9206,0.8616,0.90857,0.44146,1.74678,0.82015,0.91418,0.001882,0.001882,0.001882
84,1634.71,1.55006,0.84293,0.89174,0.9161,0.88261,0.92257,0.46682,1.67402,0.78478,0.90311,0.001783,0.001783,0.001783
85,1649.99,1.57441,0.85496,0.89367,0.95846,0.87409,0.92647,0.46336,1.72325,0.78197,0.91196,0.001684,0.001684,0.001684
86,1666.75,1.56617,0.84725,0.8943,0.94243,0.85888,0.92245,0.47942,1.66142,0.77679,0.90387,0.001585,0.001585,0.001585
87,1682.29,1.5409,0.82875,0.88894,0.9185,0.87648,0.92363,0.46819,1.66091,0.77333,0.91138,0.001486,0.001486,0.001486
88,1697.52,1.54607,0.83861,0.88869,0.90152,0.91312,0.91996,0.44084,1.73935,0.7922,0.92074,0.001387,0.001387,0.001387
89,1713.29,1.55849,0.83303,0.89063,0.92163,0.89253,0.93,0.47865,1.6802,0.7732,0.90933,0.001288,0.001288,0.001288
90,1729.27,1.54479,0.82728,0.89419,0.96507,0.8687,0.93355,0.48622,1.62177,0.76601,0.89708,0.001189,0.001189,0.001189
91,1777.69,1.51409,0.7808,0.90712,0.92978,0.8843,0.92738,0.4764,1.62948,0.77335,0.90263,0.00109,0.00109,0.00109
92,1800.93,1.49228,0.76581,0.90237,0.91431,0.86547,0.92613,0.47756,1.65012,0.80454,0.90561,0.000991,0.000991,0.000991
93,1819.16,1.45249,0.73737,0.90154,0.95288,0.86474,0.91971,0.48168,1.63806,0.77789,0.89954,0.000892,0.000892,0.000892
94,1836.74,1.46338,0.75304,0.89518,0.95782,0.85637,0.91461,0.47365,1.65567,0.77907,0.90125,0.000793,0.000793,0.000793
95,1852.81,1.46294,0.74153,0.89312,0.96183,0.86011,0.92774,0.47765,1.65042,0.77243,0.90011,0.000694,0.000694,0.000694
96,1874.54,1.45691,0.73004,0.89549,0.95922,0.87405,0.92785,0.48465,1.64225,0.75796,0.89815,0.000595,0.000595,0.000595
97,1896.44,1.46307,0.73662,0.89538,0.95515,0.87259,0.92477,0.47794,1.6541,0.7621,0.89902,0.000496,0.000496,0.000496
98,1919.36,1.46056,0.74078,0.89412,0.94852,0.89038,0.9373,0.49003,1.64761,0.75905,0.89868,0.000397,0.000397,0.000397
99,1941.16,1.45105,0.74979,0.89292,0.96452,0.8606,0.93187,0.48812,1.63617,0.76373,0.89755,0.000298,0.000298,0.000298
100,1962.91,1.43571,0.73342,0.88813,0.95136,0.87103,0.9254,0.47887,1.65507,0.76227,0.89943,0.000199,0.000199,0.000199
