epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,350.822,2.0618,1.25297,0.95568,0.8102,0.71406,0.81167,0.32086,2.02163,1.18489,0.97959,0.005545,0.005545,0.005545
47,356.679,1.9814,1.19455,0.93461,0.81271,0.72057,0.78767,0.33424,1.99084,1.27704,0.97387,0.005446,0.005446,0.005446
48,362.383,2.04071,1.2244,0.94959,0.86457,0.75376,0.81796,0.33393,2.01589,1.08154,0.96919,0.005347,0.005347,0.005347
49,368.062,2.05478,1.17923,0.94458,0.75958,0.69158,0.73676,0.27945,2.1704,1.22964,0.99532,0.005248,0.005248,0.005248
50,373.666,1.95795,1.16157,0.95896,0.88631,0.76477,0.8311,0.34155,2.00354,1.07783,0.97092,0.005149,0.005149,0.005149
51,379.354,2.04938,1.2387,0.94993,0.79277,0.67305,0.76191,0.28167,2.22876,1.19476,1.00349,0.00505,0.00505,0.00505
52,385.1,2.01374,1.17101,0.9727,0.90625,0.76662,0.85892,0.36526,1.93407,1.00213,0.94891,0.004951,0.004951,0.004951
53,390.923,2.02816,1.17425,0.95358,0.75741,0.6876,0.78694,0.30863,2.07482,1.14476,0.97439,0.004852,0.004852,0.004852
54,396.701,2.05547,1.17497,0.955,0.87888,0.7653,0.85119,0.35569,1.95394,1.04097,0.95551,0.004753,0.004753,0.004753
55,402.34,1.96696,1.12885,0.94291,0.86411,0.75589,0.85886,0.37202,1.94397,1.0753,0.95916,0.004654,0.004654,0.004654
56,408.058,2.00946,1.13645,0.93252,0.89429,0.77893,0.85926,0.37537,1.89843,1.0065,0.94771,0.004555,0.004555,0.004555
57,413.779,1.99331,1.11781,0.94271,0.84235,0.80516,0.87025,0.39105,1.84921,0.96597,0.93847,0.004456,0.004456,0.004456
58,419.442,1.90882,1.1016,0.92372,0.76884,0.79119,0.80925,0.32981,1.99692,1.04701,0.96686,0.004357,0.004357,0.004357
59,425.121,1.95563,1.04757,0.93687,0.88404,0.78561,0.86174,0.35351,1.99022,0.99394,0.97345,0.004258,0.004258,0.004258
60,430.797,1.88961,1.0377,0.94105,0.79272,0.83108,0.88287,0.36978,1.93068,1.00121,0.95404,0.004159,0.004159,0.004159
61,436.63,1.93157,1.08982,0.94215,0.8341,0.75222,0.80433,0.32707,2.00119,1.037,0.96704,0.00406,0.00406,0.00406
62,442.572,1.92175,1.07078,0.93237,0.93012,0.82685,0.87428,0.38229,1.89953,0.97093,0.95049,0.003961,0.003961,0.003961
63,448.397,1.90884,0.99038,0.91751,0.95849,0.80392,0.87285,0.37542,1.893,0.98295,0.94773,0.003862,0.003862,0.003862
64,454.195,1.91099,1.07138,0.95247,0.75295,0.78646,0.81771,0.34062,1.95051,1.0804,0.94936,0.003763,0.003763,0.003763
65,459.913,1.93962,1.06708,0.93051,0.8967,0.79519,0.87494,0.38516,1.93503,0.98731,0.95104,0.003664,0.003664,0.003664
66,465.699,1.87925,1.03897,0.9222,0.92817,0.77861,0.85303,0.35297,1.97402,1.01979,0.96012,0.003565,0.003565,0.003565
67,471.514,1.87894,0.99875,0.92472,0.83738,0.7913,0.80179,0.3136,2.00885,1.08133,0.95802,0.003466,0.003466,0.003466
68,477.502,1.89295,1.01878,0.91438,0.88637,0.87952,0.91752,0.40869,1.8564,0.88052,0.94369,0.003367,0.003367,0.003367
